setup	257116339746
query	7559081957
MAP	0.29199741357937403

query	time
51	2364064
52	19377818
53	3403206
54	29989381
55	34269185
56	52119082
57	204079
58	8011573
59	34806547
60	11610238
61	30918347
62	15502337
63	11686344
64	338559
65	93686812
66	51574775
67	44983029
68	22200642
69	37182185
70	641489
71	5048274
72	7078184
73	84252190
74	27731061
75	3439395
76	30947784
77	585513
78	391389
79	70858136
80	17350325
81	38362534
82	12645927
83	124752087
84	64164695
85	45972511
86	30660031
87	99313721
88	63213690
89	120127787
90	130581034
