[12:21:17] [SearchEngine] Best scores for each hyperparameters :
[12:21:18] [SearchEngine] (theta 0.55 , zeta 300, fancyHitBonus 1.0) => 0.3159062564498105
[12:21:18] [SearchEngine] (theta 0.8 , zeta 300, fancyHitBonus 1.0) => 0.31586935139912764
[12:21:18] [SearchEngine] (theta 0.8 , zeta 150, fancyHitBonus 3.0) => 0.31586634285533377
[12:21:18] [SearchEngine] (theta 0.65 , zeta 150, fancyHitBonus 5.0) => 0.3158591403879576
[12:21:18] [SearchEngine] (theta 0.65 , zeta 300, fancyHitBonus 3.0) => 0.31579731017169677
[12:21:18] [SearchEngine] (theta 0.55 , zeta 250, fancyHitBonus 3.0) => 0.31552615806887985
[12:21:18] [SearchEngine] (theta 0.8 , zeta 250, fancyHitBonus 1.0) => 0.3154886421404225
[12:21:18] [SearchEngine] (theta 0.7 , zeta 200, fancyHitBonus 5.0) => 0.31537410437368274
[12:21:18] [SearchEngine] (theta 0.8 , zeta 300, fancyHitBonus 5.0) => 0.31524185945792527
[12:21:18] [SearchEngine] (theta 0.6 , zeta 150, fancyHitBonus 3.0) => 0.3152328536667814
[12:21:18] [SearchEngine] (theta 0.8 , zeta 150, fancyHitBonus 1.0) => 0.3152169551829792
[12:21:18] [SearchEngine] (theta 0.55 , zeta 150, fancyHitBonus 3.0) => 0.315146349974722
[12:21:18] [SearchEngine] (theta 0.55 , zeta 150, fancyHitBonus 1.0) => 0.3151237666252939
[12:21:18] [SearchEngine] (theta 0.8 , zeta 150, fancyHitBonus 7.0) => 0.3150808804682742
[12:21:18] [SearchEngine] (theta 0.75 , zeta 300, fancyHitBonus 5.0) => 0.31508061297844947
[12:21:18] [SearchEngine] (theta 0.75 , zeta 200, fancyHitBonus 5.0) => 0.3150720311346112
[12:21:18] [SearchEngine] (theta 0.75 , zeta 250, fancyHitBonus 5.0) => 0.3150240005457391
[12:21:18] [SearchEngine] (theta 0.6 , zeta 150, fancyHitBonus 5.0) => 0.3150065471672977
[12:21:18] [SearchEngine] (theta 0.8 , zeta 200, fancyHitBonus 5.0) => 0.3149594152561016
[12:21:18] [SearchEngine] (theta 0.75 , zeta 150, fancyHitBonus 7.0) => 0.3148275405641593
[12:21:18] [SearchEngine] (theta 0.8 , zeta 250, fancyHitBonus 5.0) => 0.3147909027840704
[12:21:18] [SearchEngine] (theta 0.6 , zeta 300, fancyHitBonus 3.0) => 0.31471411480821937
[12:21:18] [SearchEngine] (theta 0.7 , zeta 250, fancyHitBonus 5.0) => 0.31464695633971435
[12:21:18] [SearchEngine] (theta 0.55 , zeta 150, fancyHitBonus 5.0) => 0.3145648663699328
[12:21:18] [SearchEngine] (theta 0.7 , zeta 300, fancyHitBonus 5.0) => 0.31452465794074647
[12:21:18] [SearchEngine] (theta 0.6 , zeta 300, fancyHitBonus 0.0) => 0.31447562088313696
[12:21:18] [SearchEngine] (theta 0.65 , zeta 200, fancyHitBonus 5.0) => 0.31442968011695316
[12:21:18] [SearchEngine] (theta 0.75 , zeta 150, fancyHitBonus 0.0) => 0.31441836449371413
[12:21:18] [SearchEngine] (theta 0.7 , zeta 150, fancyHitBonus 0.0) => 0.31434660845181994
[12:21:18] [SearchEngine] (theta 0.65 , zeta 100, fancyHitBonus 1.0) => 0.31434329983140524
[12:21:18] [SearchEngine] (theta 0.65 , zeta 150, fancyHitBonus 7.0) => 0.3143121645759107
[12:21:18] [SearchEngine] (theta 0.7 , zeta 150, fancyHitBonus 7.0) => 0.31429973899356467
[12:21:18] [SearchEngine] (theta 0.8 , zeta 200, fancyHitBonus 7.0) => 0.31414719830117604
[12:21:18] [SearchEngine] (theta 0.8 , zeta 250, fancyHitBonus 7.0) => 0.31405409433849846
[12:21:18] [SearchEngine] (theta 0.75 , zeta 100, fancyHitBonus 1.0) => 0.314025549430135
[12:21:18] [SearchEngine] (theta 0.55 , zeta 300, fancyHitBonus 3.0) => 0.3140189748268128
[12:21:18] [SearchEngine] (theta 0.55 , zeta 300, fancyHitBonus 0.0) => 0.314002670738432
[12:21:18] [SearchEngine] (theta 0.65 , zeta 300, fancyHitBonus 0.0) => 0.3139967577984485
[12:21:18] [SearchEngine] (theta 0.65 , zeta 100, fancyHitBonus 3.0) => 0.31399557369442743
[12:21:18] [SearchEngine] (theta 0.8 , zeta 100, fancyHitBonus 3.0) => 0.313980049057199
[12:21:18] [SearchEngine] (theta 0.65 , zeta 150, fancyHitBonus 0.0) => 0.3139598893372726
[12:21:18] [SearchEngine] (theta 0.75 , zeta 100, fancyHitBonus 3.0) => 0.31395223070182215
[12:21:18] [SearchEngine] (theta 0.7 , zeta 100, fancyHitBonus 1.0) => 0.31394785802352715
[12:21:18] [SearchEngine] (theta 0.75 , zeta 200, fancyHitBonus 7.0) => 0.3138710554094632
[12:21:18] [SearchEngine] (theta 0.8 , zeta 300, fancyHitBonus 7.0) => 0.3138624643355177
[12:21:18] [SearchEngine] (theta 0.7 , zeta 200, fancyHitBonus 0.0) => 0.3138402358597993
[12:21:18] [SearchEngine] (theta 0.7 , zeta 200, fancyHitBonus 7.0) => 0.3138331023576434
[12:21:18] [SearchEngine] (theta 0.75 , zeta 300, fancyHitBonus 7.0) => 0.3136753117981245
[12:21:18] [SearchEngine] (theta 0.6 , zeta 100, fancyHitBonus 1.0) => 0.3136574601649809
[12:21:18] [SearchEngine] (theta 0.75 , zeta 250, fancyHitBonus 7.0) => 0.31365128652108976
[12:21:18] [SearchEngine] (theta 0.6 , zeta 150, fancyHitBonus 7.0) => 0.3136468725768951
[12:21:18] [SearchEngine] (theta 0.8 , zeta 100, fancyHitBonus 1.0) => 0.3135970524976015
[12:21:18] [SearchEngine] (theta 0.8 , zeta 150, fancyHitBonus 0.0) => 0.31358667852730315
[12:21:18] [SearchEngine] (theta 0.8 , zeta 100, fancyHitBonus 5.0) => 0.31355258166849903
[12:21:18] [SearchEngine] (theta 0.6 , zeta 100, fancyHitBonus 3.0) => 0.31353308073972885
[12:21:18] [SearchEngine] (theta 0.65 , zeta 200, fancyHitBonus 7.0) => 0.3134874334821677
[12:21:18] [SearchEngine] (theta 0.6 , zeta 250, fancyHitBonus 0.0) => 0.31346589889742693
[12:21:18] [SearchEngine] (theta 0.7 , zeta 100, fancyHitBonus 3.0) => 0.31345773854870895
[12:21:18] [SearchEngine] (theta 0.65 , zeta 250, fancyHitBonus 5.0) => 0.3133296335249006
[12:21:18] [SearchEngine] (theta 0.75 , zeta 250, fancyHitBonus 0.0) => 0.31332748879659833
[12:21:18] [SearchEngine] (theta 0.6 , zeta 200, fancyHitBonus 5.0) => 0.31328427988647256
[12:21:18] [SearchEngine] (theta 0.6 , zeta 150, fancyHitBonus 0.0) => 0.3132477776210556
[12:21:18] [SearchEngine] (theta 0.75 , zeta 200, fancyHitBonus 0.0) => 0.31322933501382466
[12:21:18] [SearchEngine] (theta 0.8 , zeta 100, fancyHitBonus 7.0) => 0.31322909340263916
[12:21:18] [SearchEngine] (theta 0.65 , zeta 200, fancyHitBonus 0.0) => 0.31322139017631245
[12:21:18] [SearchEngine] (theta 0.55 , zeta 100, fancyHitBonus 1.0) => 0.31317661762296556
[12:21:18] [SearchEngine] (theta 0.55 , zeta 150, fancyHitBonus 0.0) => 0.3131595419930773
[12:21:18] [SearchEngine] (theta 0.65 , zeta 250, fancyHitBonus 0.0) => 0.3131379928543607
[12:21:18] [SearchEngine] (theta 0.75 , zeta 300, fancyHitBonus 0.0) => 0.31312850669658204
[12:21:18] [SearchEngine] (theta 0.55 , zeta 200, fancyHitBonus 5.0) => 0.31311252480122664
[12:21:18] [SearchEngine] (theta 0.65 , zeta 300, fancyHitBonus 5.0) => 0.31306683081927267
[12:21:18] [SearchEngine] (theta 0.6 , zeta 250, fancyHitBonus 5.0) => 0.3129407812683135
[12:21:18] [SearchEngine] (theta 0.75 , zeta 100, fancyHitBonus 5.0) => 0.3129277096753504
[12:21:18] [SearchEngine] (theta 0.7 , zeta 300, fancyHitBonus 7.0) => 0.3128463984277064
[12:21:18] [SearchEngine] (theta 0.55 , zeta 100, fancyHitBonus 3.0) => 0.31282363530747237
[12:21:18] [SearchEngine] (theta 0.55 , zeta 250, fancyHitBonus 0.0) => 0.3128154797985699
[12:21:18] [SearchEngine] (theta 0.7 , zeta 300, fancyHitBonus 0.0) => 0.31280435584270544
[12:21:18] [SearchEngine] (theta 0.7 , zeta 250, fancyHitBonus 7.0) => 0.3127548314413519
[12:21:18] [SearchEngine] (theta 0.7 , zeta 250, fancyHitBonus 0.0) => 0.3127240279979552
[12:21:18] [SearchEngine] (theta 0.7 , zeta 100, fancyHitBonus 5.0) => 0.31267036489152744
[12:21:18] [SearchEngine] (theta 0.6 , zeta 300, fancyHitBonus 5.0) => 0.3125856020356429
[12:21:18] [SearchEngine] (theta 0.8 , zeta 300, fancyHitBonus 0.0) => 0.31253652266259413
[12:21:18] [SearchEngine] (theta 0.6 , zeta 100, fancyHitBonus 5.0) => 0.3125041319647146
[12:21:18] [SearchEngine] (theta 0.75 , zeta 100, fancyHitBonus 7.0) => 0.3123496928267656
[12:21:18] [SearchEngine] (theta 0.55 , zeta 250, fancyHitBonus 5.0) => 0.3123237966726579
[12:21:18] [SearchEngine] (theta 0.6 , zeta 200, fancyHitBonus 7.0) => 0.3122610927048505
[12:21:18] [SearchEngine] (theta 0.65 , zeta 250, fancyHitBonus 7.0) => 0.3121983823940532
[12:21:18] [SearchEngine] (theta 0.55 , zeta 150, fancyHitBonus 7.0) => 0.31211981979970577
[12:21:18] [SearchEngine] (theta 0.8 , zeta 200, fancyHitBonus 0.0) => 0.3120966594218
[12:21:18] [SearchEngine] (theta 0.65 , zeta 100, fancyHitBonus 5.0) => 0.3120899426109034
[12:21:18] [SearchEngine] (theta 0.6 , zeta 200, fancyHitBonus 0.0) => 0.31205753911349565
[12:21:18] [SearchEngine] (theta 0.55 , zeta 200, fancyHitBonus 0.0) => 0.3120262248451794
[12:21:18] [SearchEngine] (theta 0.7 , zeta 100, fancyHitBonus 7.0) => 0.311788667618693
[12:21:18] [SearchEngine] (theta 0.8 , zeta 250, fancyHitBonus 0.0) => 0.3117818858127177
[12:21:18] [SearchEngine] (theta 0.6 , zeta 250, fancyHitBonus 7.0) => 0.31173421523298206
[12:21:18] [SearchEngine] (theta 0.55 , zeta 200, fancyHitBonus 7.0) => 0.31164587352002376
[12:21:18] [SearchEngine] (theta 0.65 , zeta 300, fancyHitBonus 7.0) => 0.31153857109545496
[12:21:18] [SearchEngine] (theta 0.55 , zeta 300, fancyHitBonus 5.0) => 0.31146824037763887
[12:21:18] [SearchEngine] (theta 0.6 , zeta 100, fancyHitBonus 7.0) => 0.31145691073464765
[12:21:18] [SearchEngine] (theta 0.55 , zeta 100, fancyHitBonus 5.0) => 0.31133559811389155
[12:21:18] [SearchEngine] (theta 0.65 , zeta 100, fancyHitBonus 7.0) => 0.311114174879847
[12:21:18] [SearchEngine] (theta 0.65 , zeta 100, fancyHitBonus 0.0) => 0.3110050391037034
[12:21:18] [SearchEngine] (theta 0.6 , zeta 300, fancyHitBonus 7.0) => 0.31085943005985867
[12:21:18] [SearchEngine] (theta 0.75 , zeta 100, fancyHitBonus 0.0) => 0.31074265829164516
[12:21:18] [SearchEngine] (theta 0.7 , zeta 100, fancyHitBonus 0.0) => 0.3104310097697981
[12:21:18] [SearchEngine] (theta 0.6 , zeta 100, fancyHitBonus 0.0) => 0.3104224669073929
[12:21:18] [SearchEngine] (theta 0.55 , zeta 250, fancyHitBonus 7.0) => 0.310370398833271
[12:21:18] [SearchEngine] (theta 0.8 , zeta 100, fancyHitBonus 0.0) => 0.3102727984098076
[12:21:18] [SearchEngine] (theta 0.55 , zeta 100, fancyHitBonus 0.0) => 0.31018967138699366
[12:21:18] [SearchEngine] (theta 0.55 , zeta 300, fancyHitBonus 7.0) => 0.3101153107321221
[12:21:18] [SearchEngine] (theta 0.55 , zeta 100, fancyHitBonus 7.0) => 0.3101125993755938
